index,utterance_id,audio_name,duration,wer,transcript,entity_count,entities
0,utt_id_test_000001,VietMed_028,6.0,0.045455,hóa cũng là một trong những trường hợp lưu ý để nhận biết nguy cơ sớm tránh biến chứng nguy hiểm,1,"[{""text"": ""biến chứng"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998948, ""start"": 76, ""end"": 86}]"
1,utt_id_test_000002,VietMed_028,7.0,0.321429,cơ hỏi như sau để tới năm nay năm mươi lăm tuổi chuẩn bị phẫu thuật cắt cứu bật tôi rất lo lắng liệu mẹ tôi có nguy cơ khi,5,"[{""text"": ""năm nay"", ""label"": ""DATETIME"", ""score"": 0.991302, ""start"": 22, ""end"": 29}, {""text"": ""năm mươi lăm tuổi"", ""label"": ""AGE"", ""score"": 0.944902, ""start"": 30, ""end"": 47}, {""text"": ""phẫu thuật"", ""label"": ""SURGERY"", ""score"": 0.995597, ""start"": 57, ""end"": 67}, {""text"": ""cắt cứu"", ""label"": ""SURGERY"", ""score"": 0.850294, ""start"": 68, ""end"": 75}, {""text"": ""mẹ"", ""label"": ""GENDER"", ""score"": 0.890802, ""start"": 101, ""end"": 103}]"
2,utt_id_test_000003,VietMed_028,7.0,0.230769,số người trùng lại thì có những triệu chứng nằm sàng thì những vấn đề thường gặp và có thể xảy ra như ví dụ ở cỡ phần cái,1,"[{""text"": ""triệu chứng"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998903, ""start"": 32, ""end"": 43}]"
3,utt_id_test_000004,VietMed_028,5.0,0.173913,tôi làm công việc văn phòng hay ngồi nhiều thì có cách nào phòng tránh bệnh thuyên tắc với khối tế,3,"[{""text"": ""công việc văn"", ""label"": ""OCCUPATION"", ""score"": 0.510021, ""start"": 8, ""end"": 21}, {""text"": ""phòng"", ""label"": ""LOCATION"", ""score"": 0.634751, ""start"": 22, ""end"": 27}, {""text"": ""phòng tránh"", ""label"": ""PREVENTIVEMED"", ""score"": 0.993562, ""start"": 59, ""end"": 70}]"
4,utt_id_test_000005,VietMed_028,7.0,0.074074,không có triệu chứng lập sàng và dễ nhầm lẫn với những bệnh lý khác bệnh lý này thường có tỷ lệ mắc cao ở những,5,"[{""text"": ""triệu chứng lập sàng"", ""label"": ""DISEASESYMTOM"", ""score"": 0.878923, ""start"": 9, ""end"": 29}, {""text"": ""bệnh lý"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998728, ""start"": 55, ""end"": 62}, {""text"": ""bệnh lý"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998684, ""start"": 68, ""end"": 75}, {""text"": ""tỷ lệ"", ""label"": ""UNITCALIBRATOR"", ""score"": 0.990097, ""start"": 90, ""end"": 95}, {""text"": ""cao"", ""label"": ""UNITCALIBRATOR"", ""score"": 0.995007, ""start"": 100, ""end"": 103}]"
5,utt_id_test_000006,VietMed_028,5.0,0.4,cùng với thấy mạnh về đội ngủ chuyên gia dầu kinh nghiệm phối hợp đa chuyên khoa các phần kinh nghiệm,2,"[{""text"": ""chuyên gia"", ""label"": ""OCCUPATION"", ""score"": 0.993246, ""start"": 30, ""end"": 40}, {""text"": ""chuyên khoa"", ""label"": ""LOCATION"", ""score"": 0.950869, ""start"": 69, ""end"": 80}]"
6,utt_id_test_000007,VietMed_028,8.0,0.192308,vừa xuất viện sau phẫu thuật ung thư đại tràng tuy nhiên trên da người nhà em gần đây lại xuất hiện các vết mầm em lo lắng vết,5,"[{""text"": ""phẫu thuật"", ""label"": ""SURGERY"", ""score"": 0.996521, ""start"": 18, ""end"": 28}, {""text"": ""ung thư đại tràng"", ""label"": ""DISEASESYMTOM"", ""score"": 0.985124, ""start"": 29, ""end"": 46}, {""text"": ""da"", ""label"": ""ORGAN"", ""score"": 0.997394, ""start"": 62, ""end"": 64}, {""text"": ""nhà"", ""label"": ""LOCATION"", ""score"": 0.948762, ""start"": 71, ""end"": 74}, {""text"": ""gần đây"", ""label"": ""DATETIME"", ""score"": 0.995049, ""start"": 78, ""end"": 85}]"
7,utt_id_test_000008,VietMed_028,6.0,0.074074,làm sao để tôi biết khi nào nên ngưng điều trị có dấu hiệu nào để tôi chú ý theo dõi để ngưng điều trị,5,"[{""text"": ""ng"", ""label"": ""MEDDEVICETECHNIQUE"", ""score"": 0.868903, ""start"": 32, ""end"": 34}, {""text"": ""ưng"", ""label"": ""MEDDEVICETECHNIQUE"", ""score"": 0.376614, ""start"": 34, ""end"": 37}, {""text"": ""điều trị"", ""label"": ""TREATMENT"", ""score"": 0.997432, ""start"": 38, ""end"": 46}, {""text"": ""ngưng"", ""label"": ""MEDDEVICETECHNIQUE"", ""score"": 0.680124, ""start"": 88, ""end"": 93}, {""text"": ""điều trị"", ""label"": ""TREATMENT"", ""score"": 0.997993, ""start"": 94, ""end"": 102}]"
8,utt_id_test_000009,VietMed_028,7.0,0.275862,tỉnh mạch hay không ạ có lẽ đây sẽ làm một thắc mắc của rất nhiều quý vị khán giả đặc biệt là những ai làm công việc văn phòng thì bây giờ xin mời các,5,"[{""text"": ""mạch"", ""label"": ""ORGAN"", ""score"": 0.981659, ""start"": 5, ""end"": 9}, {""text"": ""rất nhiều"", ""label"": ""UNITCALIBRATOR"", ""score"": 0.995051, ""start"": 56, ""end"": 65}, {""text"": ""khán giả"", ""label"": ""OCCUPATION"", ""score"": 0.992315, ""start"": 73, ""end"": 81}, {""text"": ""việc văn phòng"", ""label"": ""OCCUPATION"", ""score"": 0.861166, ""start"": 112, ""end"": 126}, {""text"": ""bây giờ"", ""label"": ""DATETIME"", ""score"": 0.996536, ""start"": 131, ""end"": 138}]"
9,utt_id_test_000010,VietMed_028,5.0,0.277778,da từ cơ bản đến chuyện sâu phương chăm chăm sóc điều trị cá thể hóa trên từng tử,3,"[{""text"": ""da"", ""label"": ""ORGAN"", ""score"": 0.995884, ""start"": 0, ""end"": 2}, {""text"": ""chăm sóc"", ""label"": ""PERSONALCARE"", ""score"": 0.97522, ""start"": 40, ""end"": 48}, {""text"": ""điều trị"", ""label"": ""TREATMENT"", ""score"": 0.997894, ""start"": 49, ""end"": 57}]"
