sample_id,reference_text,asr_hypothesis,corrected_from_asr,corrected_from_reference,wer_asr_raw,wer_after_correction,wer_overcorrection,verdict
utt_id_test_000027,thưa quý vị thuyên tắc huyết khối tĩnh mạch là căn bệnh có rất ít dấu hiệu cảnh báo bệnh nguy hiểm nếu không được,vừa rồi thưa quý vị thuyên tắc huyết khối tĩnh mạch là căn bệnh có rất ít dấu hiệu cảnh báo bệnh nguy hiểm nếu không được phát hiện.,vừa rồi thưa quý vị thuyên tắc huyết khối tĩnh mạch là căn bệnh có rất ít dấu hiệu cảnh báo bệnh nguy hiểm nếu không được phát hiện.,"Thưa quý vị, thuyên tắc huyết khối tĩnh mạch là căn bệnh có rất ít dấu hiệu cảnh báo bệnh nguy hiểm, nếu không được.",0.16,0.16,0.0,khong_doi
utt_id_test_000103,giờ xin mời quý vị đang theo dõi chương trình có thể lắng nghe kỹ hơn cũng như là gửi câu trả lời này của bác sĩ nghe,quý vị đang theo dõi chương trình có thể lắng nghe kỹ hơn cũng như là gửi câu trả lời này của bác sĩ nghe sau đây.,quý vị đang theo dõi chương trình có thể lắng nghe kỹ hơn cũng như là gửi câu trả lời này của bác sĩ nghe sau đây.,Giờ xin mời quý vị đang theo dõi chương trình có thể lắng nghe kỹ hơn cũng như là gửi câu trả lời này của bác sĩ nghe.,0.1786,0.1786,0.0,khong_doi
utt_id_test_000109,đến tạo hình thẩm mỹ cho khách hàng thưa quý vị với các lợi thế về phát triển du,liên quan đến tạo hình thẩm mỹ cho khách hàng thưa quý vị với các lợi thế về phát triển dài.,liên quan đến tạo hình thẩm mỹ cho khách hàng thưa quý vị với các lợi thế về phát triển dài.,"đến tạo hình thẩm mỹ cho khách hàng, thưa quý vị, với các lợi thế về phát triển du lịch.",0.1579,0.1579,0.0526,khong_doi
utt_id_test_000123,quý khán giả về thuyên tắc huyết khối tĩnh mạch cũng như nhận biết được nguy cơ và dự phòng bệnh hiệu quả thưa quý vị trước,unk quý khán giả về thuyên tắc huyết khối tĩnh mạch cũng như nhận biết được nguy cơ và dự phòng bệnh hiệu quả thưa quý vị trước khi bắt.,unk quý khán giả về thuyên tắc huyết khối tĩnh mạch cũng như nhận biết được nguy cơ và dự phòng bệnh hiệu quả thưa quý vị trước khi bắt.,"Quý khán giả về thuyên tắc huyết khối tĩnh mạch cũng như nhận biết được nguy cơ và dự phòng bệnh hiệu quả, thưa quý vị trước?",0.1111,0.1111,0.0,khong_doi
utt_id_test_000131,thế còn là ưu điểm tiếp theo của cấy que tránh thai là vị trí cấy thì là kín đáo,thế còn ưu điểm tiếp theo của cái cấy que chánh thai là vị trí cấy thì là kín đáo.,thế còn ưu điểm tiếp theo của cái cấy que chánh thai là vị trí cấy thì là kín đáo.,Thế còn là ưu điểm tiếp theo của cấy que tránh thai là vị trí cấy thì là kín đáo.,0.15,0.15,0.0,khong_doi
utt_id_test_000178,rất là hay bởi vì là khi mà muốn dùng một biện pháp ngừa thai nào mà đạt được,thật là hay bởi vì là khi mà muốn dùng một biện pháp ngừa thai nào mà.,thật là hay bởi vì là khi mà muốn dùng một biện pháp ngừa thai nào mà.,rất là hay bởi vì là khi mà muốn dùng một biện pháp ngừa thai nào mà đạt được.,0.1579,0.1579,0.0,khong_doi
utt_id_test_000188,tạo nó đặc trưng cho cái chuyên ngành y tế mềm dẻo và trong thì có chứa nội tiết,cấu tạo nó đặc chủng cho cái chuyên ngành y tế mềm dẻo và trong thì có chứa nội tiết tố.,cấu tạo nó đặc chủng cho cái chuyên ngành y tế mềm dẻo và trong thì có chứa nội tiết tố.,Tạo nó đặc trưng cho cái chuyên ngành y tế mềm dẻo và trong thì có chứa nội tiết.,0.1579,0.1579,0.0,khong_doi
utt_id_test_000285,và bạn thực hiện các biện pháp này thì thứ nhất là phải có chỉ định là cái hai,khi mà bạn thực hiện chế biện pháp này thì thứ nhất là phải có chỉ định là cái.,khi mà bạn thực hiện chế biện pháp này thì thứ nhất là phải có chỉ định là cái.,"Và bạn thực hiện các biện pháp này thì thứ nhất là phải có chỉ định, là cái hai.",0.2105,0.2105,0.0,khong_doi
utt_id_test_000293,có chia sẻ là nếu như mà thì cái phương pháp tránh thai này nó can thiệp vào cơ thể mình nếu như mình mà không lựa,có chia sẻ là nếu như mà những cái phương pháp tránh thai này nó can thiệp vào cơ thể mình mà nếu như mình mà không lựa.,có chia sẻ là nếu như mà những cái phương pháp tránh thai này nó can thiệp vào cơ thể mình mà nếu như mình mà không lựa.,"Có chia sẻ là nếu như mà... thì cái phương pháp tránh thai này nó can thiệp vào cơ thể mình, nếu như mình mà không lựa.",0.0741,0.0741,0.0,khong_doi
utt_id_test_000323,que tránh thai thì có tác dụng từ ba,que thánh thai thì có tác dụng từ ba đến năm năm.,que thánh thai thì có tác dụng từ ba đến năm năm.,que tránh thai thì có tác dụng từ ba.,0.4444,0.4444,0.0,khong_doi
