index,utterance_id,audio_name,duration,wer,transcript,entity_count,entities
0,utt_id_train_000001,VietMed_011,7.0,0.1,cái gì có phải là do cái cơn khó thở hay là còn có chuyện gì khác đôi khi nó có thể là hai ba nguyên nhân cùng một lúc có thể,1,"[{""text"": ""khó thở"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998568, ""start"": 29, ""end"": 36}]"
1,utt_id_train_000002,VietMed_011,7.0,0.0,phải mang nịt rồi phải đi châm cứu rồi cho uống thuốc kết hợp đông tây luôn,3,"[{""text"": ""mang nịt"", ""label"": ""MEDDEVICETECHNIQUE"", ""score"": 0.958242, ""start"": 5, ""end"": 13}, {""text"": ""châm cứu"", ""label"": ""TREATMENT"", ""score"": 0.992417, ""start"": 26, ""end"": 34}, {""text"": ""uống thuốc"", ""label"": ""TREATMENT"", ""score"": 0.99662, ""start"": 43, ""end"": 53}]"
2,utt_id_train_000003,VietMed_011,6.0,0.0,chưa mạch máu của chúng ta vấn đề gì chưa tim của chúng ta có vấn đề chưa hoặc là chúng ta có cần có những cái,2,"[{""text"": ""mạch máu"", ""label"": ""ORGAN"", ""score"": 0.998162, ""start"": 5, ""end"": 13}, {""text"": ""tim"", ""label"": ""ORGAN"", ""score"": 0.99823, ""start"": 42, ""end"": 45}]"
3,utt_id_train_000004,VietMed_011,7.0,0.0,cho tất cả những khán giả mắc những vấn đề liên quan tới chủ đề của chương trình ngày hôm nay vâng thưa quý vị giao mùa thì,2,"[{""text"": ""khán giả"", ""label"": ""OCCUPATION"", ""score"": 0.991247, ""start"": 17, ""end"": 25}, {""text"": ""ngày hôm nay"", ""label"": ""DATETIME"", ""score"": 0.99651, ""start"": 81, ""end"": 93}]"
4,utt_id_train_000005,VietMed_011,5.0,0.0,bài tập nặng mạnh để hi vọng rằng nó vượt qua được nhưng mà thực tế mà nói thì chúng tôi rất là khuyên rằng là,0,[]
5,utt_id_train_000006,VietMed_011,7.0,0.0,khớp thì chúng ta thường nói tới đối tượng là người già đúng không ạ và nhất là trong cái thời tiết trở trời như thế này vậy thì như chúng ta có vừa chia sẻ,2,"[{""text"": ""khớp"", ""label"": ""ORGAN"", ""score"": 0.997636, ""start"": 0, ""end"": 4}, {""text"": ""người già"", ""label"": ""AGE"", ""score"": 0.961097, ""start"": 46, ""end"": 55}]"
6,utt_id_train_000007,VietMed_011,6.0,0.0,giận nó hay đau đau cả cả ngày đêm nhưng,2,"[{""text"": ""đau"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998369, ""start"": 12, ""end"": 15}, {""text"": ""đau"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998256, ""start"": 16, ""end"": 19}]"
7,utt_id_train_000008,VietMed_011,5.0,0.0,khớp tại việt nam để sản xuất nên cái thực phẩm bảo vệ sức khỏe viêm xương,6,"[{""text"": ""khớp"", ""label"": ""ORGAN"", ""score"": 0.996237, ""start"": 0, ""end"": 4}, {""text"": ""việt nam"", ""label"": ""LOCATION"", ""score"": 0.983121, ""start"": 9, ""end"": 17}, {""text"": ""thực phẩm"", ""label"": ""FOODDRINK"", ""score"": 0.990554, ""start"": 38, ""end"": 47}, {""text"": ""bảo vệ sức khỏe"", ""label"": ""PERSONALCARE"", ""score"": 0.981266, ""start"": 48, ""end"": 63}, {""text"": ""viêm"", ""label"": ""DISEASESYMTOM"", ""score"": 0.996349, ""start"": 64, ""end"": 68}, {""text"": ""xương"", ""label"": ""ORGAN"", ""score"": 0.988494, ""start"": 69, ""end"": 74}]"
8,utt_id_train_000009,VietMed_011,6.0,0.0,cái hệ cơ xương khớp thật là khỏe mạnh tuy nhiên thì bác cũng đã gặp phải tai nạn rồi cho nên cái việc mà khắc phục,3,"[{""text"": ""cơ xương khớp"", ""label"": ""ORGAN"", ""score"": 0.997346, ""start"": 7, ""end"": 20}, {""text"": ""bác"", ""label"": ""AGE"", ""score"": 0.995863, ""start"": 53, ""end"": 56}, {""text"": ""tai nạn"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998221, ""start"": 74, ""end"": 81}]"
9,utt_id_train_000010,VietMed_011,6.0,0.310345,người ta mới mổ và đôi khi là nó bị tổn thương như này nhưng mà nếu mà mình mổ mình can thiệp vào trong nặng nhiều các,5,"[{""text"": ""mổ"", ""label"": ""SURGERY"", ""score"": 0.939246, ""start"": 13, ""end"": 15}, {""text"": ""bị"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998692, ""start"": 33, ""end"": 35}, {""text"": ""tổn thương"", ""label"": ""DISEASESYMTOM"", ""score"": 0.998593, ""start"": 36, ""end"": 46}, {""text"": ""mổ"", ""label"": ""SURGERY"", ""score"": 0.908066, ""start"": 76, ""end"": 78}, {""text"": ""can thiệp"", ""label"": ""PREVENTIVEMED"", ""score"": 0.98871, ""start"": 84, ""end"": 93}]"
